"result_id","dataset","scene","system/arm","pipeline_stage","metric_name","numerator","denominator","value","threshold_or_k","scope","comparison_group","development_or_transfer_status","primary_source_artifact","source_commit_or_tag","notes"
"A01","Replica (Phase 8)","office_0","C1 / Mask3D (OpenMask3D class-agnostic mask stage) @ MIN_SCORE=0.2, min_vertices=20 — frozen ms02 reference","segmentation — dense assignment output","predicted instance count (ALL predictions, INCLUDING those that pair with structural/dropped oracle classes)","23","—","23","score >= 0.2, min_vertices=20","delivered","n/a","transfer/extension scene; human QA key added 2026-08-01 after C2 optimization was stopped","docs/uncertainty_policy_prototype.md","fcc15ab","Stated as 'hard nodes' = 23 in the real-bundle smoke table (accepted state = score >= 0.2, min_vertices 20). Identical to n_pred_instances=23 in the gitignored runs/phase8_c1/ms02/replica_office_0_exact_eval.json. THIS IS NOT AN ENTITY-ONLY COUNT: 5 of the 23 pair with structural/dropped oracle classes and are removed when the C1 eval bundle is built (see the entity-only row A-office0-pred-entities-bundle)."
"A02","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02 (derived C1 eval bundle)","derived C1 eval bundle — entity artifacts fed to the graph builder","predicted ENTITY count in the delivered C1 bundle (structural-matching predictions removed)","18","—","18","score >= 0.2, min_vertices=20","delivered","n/a","transfer/extension scene","runs/mvp_v0/replica_office_0_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","variants.C1.n_entities = 18 (identical for C2). Decomposition from runs/phase8_c1/ms02/replica_office_0_c1_run.json oracle_injection_summary: 16 label-injected matched entities + 2 unmatched kept anonymous; 5 predictions removed as structural/dropped. 18 = 16 + 2. NO TRACKED DOC STATES THIS NUMBER; both source paths are gitignored."
"A03","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","instance matching vs oracle (exact vertex correspondence)","any-overlap greedy 1:1 matches, INCLUDING structural classes","21","66","21/66","any overlap (no IoU threshold)","delivered","n/a","transfer/extension scene","runs/phase8_c1/ms02/replica_office_0_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). Field n_matched=21; the report's own n_matched_note reads 'any-overlap greedy 1:1 pairs incl. structural classes — NOT detection recall; see n_entity_matches_at_iou'. DENOMINATOR IS 66 ORACLE INSTANCES (n_oracle_instances), NOT the 47 entities. Criterion is defined in the tracked evaluator tools/c1_exact_eval.py (commit 97ff382) and tracked docs/mesh_pipeline_contract.md (commit 5260bef). No tracked doc reports the value 21."
"A04","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","instance matching vs oracle","any-overlap greedy matches restricted to ENTITY classes (no IoU threshold)","16","47","16","any overlap (no IoU threshold)","delivered","n/a","transfer/extension scene","eval/predictions/phase8_c2/replica_office_0_c2_labels.json","4f38766","label_accuracy.n_matched_entity_instances = 16; sidecar is pinned to the frozen ms02 bundle by applies_to_bundle_output_sha256 = 7bd513b0…. docs/c2_matched_labels_protocol.md (commit 4f38766) prints this as a column headed 'matched' = 16 WITHOUT naming a criterion — AMBIGUITY FLAGGED. The criterion was resolved from tools/c2_run.py::label_matched_instances (commit 84e2d1b), which iterates the exact-eval greedy matches and skips STRUCTURAL_CLASSES/DROP_CLASSES; no IoU threshold is applied. DO NOT read 16 as matches@IoU0.5 — that is 12."
"A05","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.50","12","47","12/47 (0.26)","IoU >= 0.50","delivered","n/a","transfer/extension scene","docs/c1_closeout.md","a519a8f","Headline table, 'entity matches @IoU0.5' column. The doc's own reading rule: 'NOT the greedy any-overlap match count, which includes structural classes.' The gitignored runs/phase8_c1/ms02/replica_office_0_exact_eval.json gives the unrounded ratio recall_at_iou['0.5'] = 0.2553191489361702 and n_entity_matches_at_iou['0.5'] = 12."
"A06","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.25","12","47","12/47","IoU >= 0.25","delivered","n/a","transfer/extension scene","runs/phase8_c1/ms02/replica_office_0_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_entity_matches_at_iou['0.25'] = 12 — identical to the 0.50 count for this scene. No tracked doc reports the 0.25 or 0.75 columns for office_0."
"A07","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.75","9","47","9/47","IoU >= 0.75","delivered","n/a","transfer/extension scene","runs/phase8_c1/ms02/replica_office_0_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_entity_matches_at_iou['0.75'] = 9."
"A08","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: recovered","12","47","12","IoU >= 0.50 for 'recovered'","delivered","four-way partition: recovered / merged / lost_by_resolver / no_raw_proposal","transfer/extension scene","docs/c1_closeout.md","a519a8f","Failure classification table (zero-GPU, frozen 0.2). Four classes sum to 47. Corroborated by gitignored runs/phase8_c1/ms02/office_0_failure_classes.json counts. Doc's own NOTE: 'failure_class is the COMPOSITION-stage outcome — merged is assigned before raw viability is checked, so these counts are not proposal-coverage statistics.'"
"A09","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: merged","13","47","13","n/a","delivered","four-way partition","transfer/extension scene","docs/c1_closeout.md","a519a8f","Of these 13, exactly 1 had a viable individual raw mask (n_merged_with_viable_raw_proposal = 1, gitignored runs/phase8_c1/ms02/office_0_failure_classes.json); docs/c1_closeout.md names it (the desk organizer, raw IoU 0.824 -> dense 0.078) and states the 4-scene total of such objects is six."
"A10","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: lost_by_resolver","0","47","0","n/a","delivered","four-way partition","transfer/extension scene","docs/c1_closeout.md","a519a8f","Failure classification table."
"A11","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: no_raw_proposal","22","47","22","n/a","delivered","four-way partition","transfer/extension scene","docs/c1_closeout.md","a519a8f","Failure classification table."
