"claim_id","paper_section","claim","result_ids","scopes","values_at_78d5d80","scope_note"
"CL01","Abstract; §4.1","Real capture crops raise matched-instance top-1 from 1/21 to 12/21","C01 C02","oracle_free_component_eval","C01=1/21; C02=12/21","component result only — NOT end-to-end, NOT deployable performance"
"CL02","Abstract; §4.1","and top-3 from 4/21 to 18/21","C03 C04","oracle_free_component_eval","C03=4/21; C04=18/21","component result only — oracle-selected denominator"
"CL03","§4.1","Per-scene contributions sum to the pooled figures","C05 C06 C07 C08 C09 C10 C11 C12 C13 C14 C15 C16","oracle_free_component_eval","C05=0/7; C06=0/7; C07=5/7; C08=7/7; C09=1/9; C10=4/9; C11=5/9; C12=8/9; C13=0/5; C14=0/5; C15=2/5; C16=3/5","component result only — NOT end-to-end; arithmetic closes: 0+1+0=1/21, 5+5+2=12/21, 0+4+0=4/21, 7+8+3=18/21"
"CL04","§4.1","A wider-context control scores BELOW the tight arm at both ranks","C17 C18","oracle_free_component_eval","C17=3/7; C18=5/7","component result only — NOT end-to-end; SUPPORTS the object-texture interpretation, does not prove it"
"CL05","§4.1","Detection recovery on the same scenes is far from complete","C29 C30 C31","delivered","C29=7/18; C30=9/20; C31=5/6","shows what the component denominator is conditional on"
"CL06","Abstract; §4.2","Stored relations answer 7/10 with human-supplied identity","F35 F38","identity_oracle","F35=7 / 10; F38=0.80","identity_oracle — a BOUND, never system performance"
"CL07","Abstract; §4.2","The geometry ceiling agrees at 7/10","F28 F31","identity_oracle","F28=7 / 10; F31=0.800","identity_oracle — a BOUND"
"CL08","Abstract; §4.2","The delivered graph answers 0/10","F40 F43","delivered","F40=0 / 10; F43=0.00","delivered"
"CL09","Abstract; §4.2","The grounded graph answers 2/10","F45 F48","delivered","F45=2 / 10; F48=0.20","delivered"
"CL10","§4.2","Direct RGB answers 7/10 at 0.90 coverage on the same benchmark","F50 F53","deployable","F50=7 / 10; F53=0.90","deployable"
"CL11","Abstract; §4.2","Relation extraction is cleared: replay agrees 12/12","F63","identity_oracle","F63=12 / 12 (agreement rate 1.0, 0 disagreements)","identity_oracle diagnostic; eliminates extraction as the loss"
