"question","scene","form","human_answerable","objects_delivered","relation_expressible","edge_serialized","anchor_grounded","ceiling_correct","stored_correct","graph_correct","grounded_correct","rgb_correct","graph_abstained","rgb_abstained","evidence_views","evidence_spans_multiple_views","thin_evidence"
"q25_bin_basket_near_desk","arkitscenes_41069025","binary_near","True","True","True","True","False","True","True","False","False","True","True","False","2+","True","False"
"q25_bin_kitchenbin_near_basket","arkitscenes_41069025","binary_near","True","True","True","True","True","True","True","False","True","True","True","False","0","False","True"
"q25_bin_kitchenbin_near_counter","arkitscenes_41069025","binary_near","True","True","True","True","True","True","True","False","True","True","True","False","2+","True","False"
"q25_cmp_coffee_table_sofa_vs_dining","arkitscenes_41069025","comparative_near","True","True","True","True","True","True","True","False","False","True","True","False","1","False","True"
"q25_cmp_fan_desk_vs_counter","arkitscenes_41069025","comparative_near","True","True","True","True","False","True","True","False","False","True","True","False","1","False","True"
"q25_cmp_rug_sofa_vs_counter","arkitscenes_41069025","comparative_near","False","False","True","True","False","False","False","False","False","False","False","False","","False","False"
"q25_set_near_sofa","arkitscenes_41069025","near_set","True","False","False","True","True","False","False","False","False","True","True","False","2+","True","False"
"q42_bin_bed_near_desk","arkitscenes_41069042","binary_near","True","True","True","True","False","False","False","False","False","False","True","False","0","False","True"
"q42_bin_desk_near_drawers","arkitscenes_41069042","binary_near","True","True","True","True","False","True","True","False","False","True","True","False","1","False","True"
"q42_cmp_picture_drawers_vs_bed","arkitscenes_41069042","comparative_near","True","True","True","True","False","True","True","False","False","False","True","True","1","False","True"
"q42_cmp_radiator_window_vs_desk","arkitscenes_41069042","comparative_near","False","False","True","True","False","False","False","False","False","False","False","False","0","False","True"
"q42_set_near_window","arkitscenes_41069042","near_set","True","False","False","True","False","False","False","False","False","False","True","False","2+","True","False"
